Question:
Provide a list of benchmarked datasets related to the Reading Comprehension research area?

Generated SPARQL:
 SELECT DISTINCT?dataset?dataset_lbl
     WHERE {
      ?problem       a            orkgc:Problem;
                    rdfs:label      ?problem_lbl.  
       FILTER (str(?problem_lbl) = "Reading Comprehension")
      ?dataset       a                orkgc:Dataset;
                       rdfs:label      ?dataset_lbl.
      ?benchmark      orkgp:HAS_DATASET      ?dataset.
      ?cont           orkgp:HAS_BENCHMARK     ?benchmark;
                       orkgp:P32               ?problem.
      ?paper         orkgp:HAS_CONTRIB        ?cont.
      ?author        rdfs:label              ?author_lbl.
      ?contrib       orkgp:P31               ?contrib;
                       rdfs:label              ?author_lbl.
      ?dataset       rkgp:P32               ?contrib.
      ?cont           rkgp:P31               ?cont.
      ?cont           rkgp:P31               ?cont.
      ?cont           orkgp:P32               ?cont.
      ?cont           orkgp:HAS_DATASET      ?cont.
      ?cont           orkgp:HAS_BENCHMARK     ?cont.
      ?cont           orkgp:HAS_CONTRIB        ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:P31               ?cont.

