Question:
Where can I find code references in papers that have used the Tsetlin Machine model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?paper orkgp:P5009?eval.
      ?eval orkgp:P5008?benchmark.
       FILTER(REGEX(?benchmark, "Tsetlin Machine"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?contrib orkgp:P5007?implementation.
       FILTER(REGEX(?implementation, "code"))
     }<|eot_id|>
