Question:
Indicate the model that performed best in terms of Accuracy metric on the MLDoc Zero-Shot English-to-German benchmark dataset?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
      ?metric     a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
       FILTER (str(?metric_lbl) = "Accuracy")
      ?benchmark      orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont           orkgp:P32               ?eval.
      ?eval           orkgp:HAS_MODEL         ?model.
      ?model         rdfs:label               ?model_lbl.
      ?model         orkgp:P31               ?cont_lbl.
      ?cont_lbl      rdfs:label               ?cont_lbl_lbl.
      ?cont_lbl_lbl   orkgp:HAS_MODEL         ?model.
      ?cont_lbl_lbl   rdfs:label              ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl  orkgp:P31               ?cont.
      ?cont           orkgp:HAS_EVAL        ?eval.
      ?eval           orkgp:HAS_MODEL         ?model.
      ?eval           orkgp:P32               ?cont.
       ORDER BY DESC(?eval)
      ?cont           orkgp:P32               ?cont.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:P31               ?cont.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      rdfs:label               ?cont_lbl_lbl.
      ?cont_lbl      orkgp:HAS_DATASET       ?dataset.
      ?cont_lbl      orkgp:HAS_EVAL        ?eval.
      ?cont_lbl      orkgp:P32               ?cont.
      ?cont_lbl      orkgp:HAS_MODEL         ?model.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl_lbl   rdfs:label              ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl   orkgp:P31               ?cont.
      ?cont_lbl_lbl   orkgp:HAS_DATASET       ?dataset.
      ?cont_lbl_lbl   orkgp:HAS_EVAL        ?eval.
      ?cont_lbl_lbl   orkgp:P32               ?cont.
      ?cont_lbl_lbl   orkgp:HAS_MODEL         ?model.
      ?cont_lbl_lbl   orkgp:P31               ?cont.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      rdfs:label               ?cont_lbl_lbl.
      ?cont_lbl      orkgp:HAS_DATASET       ?dataset.
      ?cont_lbl      orkgp:HAS_EVAL        ?eval.
      ?cont_lbl      orkgp:P32               ?cont.
      ?cont_lbl      orkgp:HAS_MODEL         ?model.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      rdfs:label               ?cont_lbl_lbl.
      ?cont_lbl      orkgp:HAS_DATASET       ?dataset.
      ?cont_lbl      orkgp:HAS_EVAL        ?eval.
      ?cont_lbl      orkgp:P32               ?cont.
      ?cont_lbl      orkgp:HAS_MODEL         ?model.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      rdfs:label               ?cont_lbl_lbl.
      ?cont_lbl      orkgp:HAS_DATASET       ?dataset.
      ?cont_lbl      orkgp:HAS_EVAL        ?eval.
      ?cont_lbl      orkgp:P32               ?cont.
      ?cont_lbl      orkgp:HAS_MODEL         ?model.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      orkgp:P31               ?cont.
      ?cont_lbl      rdfs:label               ?cont_lbl_lbl.
      ?cont_lbl      orkgp:HAS_DATASET       ?dataset.
      ?cont_lbl      orkgp:HAS_EVAL        ?eval.
      ?cont_lbl      orkgp:P32               ?cont.
      ?cont_lbl      orkgp:HAS
