Question:
List the code links in papers that use the FQF model in any benchmark?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?eval.
      ?eval orkgp:HAS_EVALUATION?eval_eval.
      ?eval_eval rdfs:label?eval_label.
       FILTER(REGEX(?eval_label, "FQF"))
      ?cont orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P31?cont.
      ?cont orkgp:HAS_IMPLEMENTATION?implementation.
      ?implementation orkgp:P4009?code.
     }<|eot_id|>
