Question:
Can you provide the highest benchmark result, including the metric and score, for the WMT2014 French-English dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/>
     PREFIX wmt: <http://www.wmt.org/evaluation/datasets/corpora/wmt14/french-english/>
     SELECT?metric?score?benchmark
     WHERE {
        ?benchmark wmt:dataset "WMT2014 French-English".
        ?benchmark wmt:benchmark "WMT2014".
        ?benchmark wmt:metric?metric.
        ?benchmark wmt:score?score.
         ORDER BY?score DESC.
         LIMIT 1.
     } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END { } 
     END {
