Question:
What is the most common lead compound?

Generated SPARQL:
 SELECT?compound?compound_lbl
     WHERE {
      ?cont    orkgp:has_lead?compound.
      ?compound     orkgp:P35?cont;
                    orkgp:P36?compound_lbl.
       FILTER(REGEX(?compound_lbl, "deleted"))
      ?cont     orkgp:HAS_DATA?cont_data
      ?cont_data  orkgp:P31?cont_eval
      ?cont_eval     orkgp:P32?cont_pred
      ?cont_pred      rdfs:label      ?cont_pred_lbl
      ?cont_pred      orkgp:P37      ?cont_pred_value
      ?cont_pred_value     orkgp:P38      ?cont_pred_value_lbl
      ?cont_pred_value_lbl    orkgp:P39      ?cont_pred_value_lbl_lbl
      ?cont_pred_value_lbl_lbl    orkgp:P40      ?cont_pred_value_lbl_lbl_lbl
      ?cont_pred_value_lbl_lbl_lbl    rdfs:label      ?cont_pred_value_lbl_lbl_lbl
      ?cont_pred_value_lbl_lbl_lbl_lbl    orkgp:P41      ?cont_pred_value_lbl_lbl_lbl_lbl
      ?cont_pred_value_lbl_lbl_lbl_lbl_lbl    orkgp:P42      ?cont_pred_value_lbl_lbl_lbl_lbl_lbl
      ?cont_pred_value_lbl_lbl_lbl_lbl_lbl_lbl    orkgp:P43      ?cont_pred_value_lbl_lbl_lbl_lbl_lbl
      ?cont_pred_value_lbl_lbl_lbl_lbl_lbllbl    orkgp:P44      ?cont_pred_value_lbl_lbl_lbl_lbllbl
      ?cont_pred_value_lbl_lbllbllbllbllbl    orkgp:P45      ?cont_pred_value_lbllbllbllbllbl
      ?cont_pred_value_lbllbllbllbllbllbllbl    orkggr:P32      ?cont_pred_eval_value
      ?cont_eval_value      orkgp:P46      ?cont_eval_value_lbl
      ?cont_eval_value_lbl    rdfs:label      ?cont_eval_value_lbl_lbl
      ?cont_eval_value_lbl_lbl    orkgp:P47      ?cont_eval_value_lbl_lbl_lbl
      ?cont_eval_value_lbl_lbl_lbl    orkgp:P48      ?cont_eval_value_lbl_lbl_lbl_lbl
      ?cont_eval_value_lbl_lbllbl    orkgp:P49      ?cont_eval_value_lbl_lbllbl_lbl
      ?cont_eval_value_lbllbllbllbl    orkgp:P50      ?cont_eval_value_lbllbllbllbl
      ?cont_eval_value_lbllbllbllbllbl    orkgp:P51      ?cont_eval_value_lbllbllbllbl_lbl
      ?cont_eval_value_lbllbllbllbllbllbl    orkgp:P52      ?cont_eval_value_lbllbllbllbllbl
      ?cont_eval_value_lbl
