Question:
What models are being evaluated on the TempEval-3 dataset?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
       orkgp:Model       orkgp:HAS_DATASET       orkgp:HAS_EVALUATION.
       orkgp:HAS_DATASET       a                orkgp:R122690.
       orkgp:HAS_EVALUATION       orkgp:HAS_DATASET       orkgp:HAS_EVALUATION;
                               orkgp:HAS_DATASET       orkgp:HAS_DATASET.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
       orkgp:HAS_DATASET       rdfs:label      ?dataset_lbl.
       orkgp:HAS_DATASET       orkgp:HAS_DATASET      ?eval_lbl.
      
