Question:
What is the top benchmark score and its metric on the ModelNet40 dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl
     WHERE {
    ?cont      orkgp:HAS_DATASET       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgq:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset       orkgp:HAS_DATASET     .
    ?cont      orkgp:HAS_DATASET     ?dataset
